 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
97,Particles,5,1.000,3.606,148,164,146.310,2.000,1.553,0.644,0.909
98,Particles,3,1.000,2.828,167,167,45.000,2.000,1.464,0.683,0.857
99,Particles,7,0.800,4.472,333,166,116.565,2.000,2.123,0.471,0.875
100,Particles,4,0.740,4.123,5,167,165.964,1.000,4.000,0.250,1.000
101,Particles,8,0.820,5.000,293,169,126.870,3.000,1.767,0.566,0.842
102,Particles,6,0.809,4.472,305,173,63.435,2.000,2.082,0.480,0.857
103,Particles,3,1.000,2.828,1,170,135.000,2.000,1.464,0.683,0.857
104,Particles,3,0.809,3.162,303,170,108.435,1.000,3.000,0.333,1.000
105,Particles,3,0.809,3.162,179,171,108.435,1.000,3.000,0.333,1.000
106,Particles,3,1.000,2.828,316,173,45.000,2.000,1.464,0.683,0.857
107,Particles,18,0.808,6.403,186,178,38.660,5.000,1.147,0.872,0.800
108,Particles,3,0.809,3.162,326,173,108.435,1.000,3.000,0.333,1.000
109,Particles,10,0.806,5.831,292,177,30.964,2.910,2.338,0.428,0.800
110,Particles,5,0.674,4.123,320,174,104.036,2.000,2.188,0.457,0.769
111,Particles,4,1.000,3.162,164,176,161.565,2.000,1.468,0.681,0.800
112,Particles,5,1.000,3.606,161,178,146.310,2.000,1.553,0.644,0.909
113,Particles,3,1.000,2.828,311,182,45.000,2.000,1.464,0.683,0.857
114,Particles,3,1.000,2.828,31,182,135.000,2.000,1.464,0.683,0.857
115,Particles,3,1.000,2.828,299,183,135.000,2.000,1.464,0.683,0.857
116,Particles,4,1.000,2.828,144,184,135.000,2.000,1.000,1.000,1.000
117,Particles,4,1.000,2.828,179,184,135.000,2.000,1.000,1.000,1.000
118,Particles,5,1.000,3.606,159,187,33.690,2.000,1.553,0.644,0.909
119,Particles,5,1.000,3.606,197,187,33.690,2.000,1.553,0.644,0.909
120,Particles,3,1.000,2.828,316,187,135.000,2.000,1.464,0.683,0.857
121,Particles,3,0.643,3.606,186,188,123.690,1.789,2.702,0.370,0.667
122,Particles,10,0.650,5.831,280,193,59.036,3.578,1.626,0.615,0.714
123,Particles,3,0.643,3.606,288,192,56.310,1.789,2.702,0.370,0.667
124,Particles,4,0.740,4.123,148,190,165.964,1.000,4.000,0.250,1.000
125,Particles,3,1.000,2.828,363,190,135.000,2.000,1.464,0.683,0.857
126,Particles,3,1.000,2.828,182,192,135.000,2.000,1.464,0.683,0.857
127,Particles,4,0.645,4.123,327,192,104.036,1.000,4.000,0.250,1.000
128,Particles,5,1.000,3.606,191,196,56.310,2.000,1.553,0.644,0.909
129,Particles,4,1.000,2.828,194,193,135.000,2.000,1.000,1.000,1.000
130,Particles,4,1.000,3.606,167,196,33.690,2.000,2.031,0.492,0.800
131,Particles,3,1.000,2.828,170,199,45.000,2.000,1.464,0.683,0.857
132,Particles,3,1.000,2.828,191,199,45.000,2.000,1.464,0.683,0.857
133,Particles,4,0.698,3.606,326,200,33.690,2.683,1.581,0.632,0.615
134,Particles,3,1.000,2.828,160,199,135.000,2.000,1.464,0.683,0.857
135,Particles,3,0.967,3.162,304,199,161.565,1.000,3.000,0.333,1.000
136,Particles,5,1.000,3.606,297,200,146.310,2.000,1.553,0.644,0.909
137,Particles,3,1.000,2.828,204,202,135.000,2.000,1.464,0.683,0.857
138,Particles,8,1.000,4.472,316,202,116.565,2.000,2.000,0.500,1.000
139,Particles,4,0.857,3.606,183,203,123.690,2.000,2.000,0.500,0.800
140,Particles,4,1.000,2.828,189,203,135.000,2.000,1.000,1.000,1.000
141,Particles,3,1.000,2.828,117,204,135.000,2.000,1.464,0.683,0.857
142,Particles,8,0.621,6.403,200,205,141.340,2.121,3.665,0.273,0.727
143,Particles,3,0.809,3.162,16,206,108.435,1.000,3.000,0.333,1.000
144,Particles,3,0.967,3.162,269,206,161.565,1.000,3.000,0.333,1.000
145,Particles,4,0.857,3.606,163,207,123.690,2.000,2.000,0.500,0.800
146,Particles,3,0.967,3.162,168,207,161.565,1.000,3.000,0.333,1.000
147,Particles,3,0.967,3.162,264,207,161.565,1.000,3.000,0.333,1.000
148,Particles,4,0.611,4.472,273,207,153.435,1.789,3.493,0.286,0.667
149,Particles,6,0.769,4.472,288,207,153.435,2.683,2.023,0.494,0.706
150,Particles,4,0.645,4.123,96,208,104.036,1.000,4.000,0.250,1.000
151,Particles,4,0.857,3.606,150,208,146.310,2.000,2.000,0.500,0.800
152,Particles,4,1.000,3.606,194,210,33.690,2.000,2.000,0.500,0.800
153,Particles,6,0.686,4.472,264,209,153.435,2.000,2.335,0.428,0.750
154,Particles,5,1.000,3.606,197,213,56.310,2.000,1.553,0.644,0.909
155,Particles,4,1.000,2.828,280,210,135.000,2.000,1.000,1.000,1.000
156,Particles,3,1.000,2.828,257,212,135.000,2.000,1.464,0.683,0.857
157,Particles,3,0.754,3.606,261,214,33.690,1.789,2.702,0.370,0.667
158,Particles,6,0.916,4.123,297,214,165.964,2.000,1.809,0.553,0.857
159,Particles,6,0.686,4.472,194,216,26.565,2.000,2.089,0.479,0.800
160,Particles,4,0.611,4.472,223,215,153.435,1.897,3.093,0.323,0.667
161,Particles,3,0.754,3.606,277,217,33.690,1.789,2.702,0.370,0.667
162,Particles,3,1.000,2.828,177,218,135.000,2.000,1.464,0.683,0.857
163,Particles,4,1.000,3.162,241,219,161.565,2.000,1.468,0.681,0.800
164,Particles,3,1.000,2.828,122,222,45.000,2.000,1.464,0.683,0.857
165,Particles,4,1.000,2.828,203,220,135.000,2.000,1.000,1.000,1.000
166,Particles,3,0.754,3.606,247,220,146.310,1.789,2.702,0.370,0.667
167,Particles,4,0.857,3.606,273,224,56.310,2.000,2.031,0.492,0.800
168,Particles,3,1.000,2.828,176,224,45.000,2.000,1.464,0.683,0.857
169,Particles,3,1.000,2.828,323,225,45.000,2.000,1.464,0.683,0.857
170,Particles,3,0.967,3.162,97,224,161.565,1.000,3.000,0.333,1.000
171,Particles,4,0.740,4.123,256,224,165.964,1.000,4.000,0.250,1.000
172,Particles,3,1.000,2.828,217,226,135.000,2.000,1.464,0.683,0.857
173,Particles,3,1.000,2.828,193,227,135.000,2.000,1.464,0.683,0.857
174,Particles,3,1.000,2.828,253,227,135.000,2.000,1.464,0.683,0.857
175,Particles,3,1.000,2.828,307,229,45.000,2.000,1.464,0.683,0.857
176,Particles,3,0.754,3.606,191,230,146.310,1.789,2.702,0.370,0.667
177,Particles,4,0.611,4.243,229,233,45.000,2.121,2.530,0.395,0.615
178,Particles,3,0.967,3.162,220,232,161.565,1.000,3.000,0.333,1.000
179,Particles,3,1.000,2.828,307,234,45.000,2.000,1.464,0.683,0.857
180,Particles,3,1.000,2.828,311,234,45.000,2.000,1.464,0.683,0.857
181,Particles,5,1.000,3.606,164,236,56.310,2.000,1.553,0.644,0.909
182,Particles,4,0.857,3.162,199,233,108.435,2.000,1.468,0.681,0.800
183,Particles,5,1.000,3.606,260,234,146.310,2.000,1.553,0.644,0.909
184,Particles,4,0.645,4.123,239,235,104.036,1.000,4.000,0.250,1.000
185,Particles,3,1.000,2.828,258,238,135.000,2.000,1.464,0.683,0.857
186,Particles,4,0.645,4.123,195,240,104.036,1.000,4.000,0.250,1.000
187,Particles,3,0.967,3.162,276,240,161.565,1.000,3.000,0.333,1.000
188,Particles,3,0.967,3.162,188,246,161.565,1.000,3.000,0.333,1.000
189,Particles,5,1.000,3.606,149,249,33.690,2.000,1.553,0.644,0.909
190,Particles,4,0.740,4.123,168,247,165.964,1.000,4.000,0.250,1.000
191,Particles,3,0.967,3.162,256,247,161.565,1.000,3.000,0.333,1.000
192,Particles,3,1.000,2.828,146,250,135.000,2.000,1.464,0.683,0.857
193,Particles,4,0.740,4.123,232,254,165.964,1.000,4.000,0.250,1.000
194,Particles,3,0.809,3.162,183,256,108.435,1.000,3.000,0.333,1.000
195,Particles,3,0.809,3.162,207,257,108.435,1.000,3.000,0.333,1.000
196,Particles,3,0.809,3.162,160,276,108.435,1.000,3.000,0.333,1.000
197,Particles,3,1.000,2.828,92,300,135.000,2.000,1.464,0.683,0.857
198,Particles,3,1.000,2.828,113,301,135.000,2.000,1.464,0.683,0.857
199,Particles,4,1.000,2.828,110,370,135.000,2.000,1.000,1.000,1.000
