 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Fibers,2496,0.163,80.994,239,205,57.095,60.400,1.163,0.860,0.714
2,Fibers,53,0.213,15.524,299,157,165.069,13.370,1.103,0.906,0.390
3,Fibers,17,0.259,9.487,231,174,161.565,4.000,2.364,0.423,0.630
4,Fibers,15,0.289,11.045,302,175,174.806,3.000,4.191,0.239,0.577
5,Fibers,19,0.265,7.280,234,183,105.945,6.000,1.203,0.831,0.559
6,Fragments,5,0.536,5.099,65,21,101.310,1.000,5.000,0.200,1.000
7,Fragments,7,0.314,6.708,336,25,26.565,2.910,2.693,0.371,0.500
8,Fragments,22,0.324,12.166,263,53,170.538,4.000,3.281,0.305,0.611
9,Fragments,5,0.536,5.099,79,60,101.310,1.000,5.000,0.200,1.000
10,Fragments,137,0.421,26.926,241,119,21.801,8.854,3.263,0.306,0.833
11,Fragments,5,0.536,5.099,224,124,101.310,1.000,5.000,0.200,1.000
12,Fragments,5,0.599,5.099,280,134,168.690,1.000,5.000,0.200,1.000
13,Fragments,60,0.404,16.125,94,143,29.745,9.700,1.564,0.639,0.594
14,Fragments,14,0.409,9.487,252,146,18.435,3.000,2.876,0.348,0.636
15,Fragments,4,0.539,4.472,87,153,116.565,1.789,3.493,0.286,0.667
16,Fragments,7,0.400,7.071,91,155,98.130,1.000,7.000,0.143,1.000
17,Fragments,7,0.564,5.385,316,169,68.199,2.910,2.399,0.417,0.636
18,Fragments,7,0.496,4.472,311,166,153.435,3.000,1.499,0.667,0.636
19,Fragments,5,0.513,5.000,221,192,143.130,2.496,2.605,0.384,0.588
20,Fragments,14,0.409,8.062,230,208,29.745,4.000,2.284,0.438,0.583
21,Fragments,7,0.564,5.831,297,206,149.036,2.683,2.927,0.342,0.636
22,Fragments,15,0.537,6.325,230,210,161.565,4.000,1.523,0.657,0.750
23,Fragments,8,0.520,6.325,239,219,161.565,2.425,3.412,0.293,0.640
24,Fragments,12,0.325,6.708,216,226,63.435,5.692,1.133,0.883,0.500
25,Fragments,71,0.438,13.454,278,296,131.987,10.000,1.126,0.888,0.706
26,Fragments,85,0.346,15.652,293,312,26.565,11.384,1.245,0.803,0.685
27,Particles,3,0.809,3.162,135,1,108.435,1.000,3.000,0.333,1.000
28,Particles,5,0.674,4.472,101,4,153.435,2.000,2.749,0.364,0.769
29,Particles,3,0.967,3.162,325,4,161.565,1.000,3.000,0.333,1.000
30,Particles,4,0.857,3.606,245,7,33.690,2.000,2.000,0.500,0.800
31,Particles,4,1.000,2.828,380,5,135.000,2.000,1.000,1.000,1.000
32,Particles,3,1.000,2.828,42,9,45.000,2.000,1.464,0.683,0.857
33,Particles,3,0.754,3.606,46,7,146.310,1.789,2.702,0.370,0.667
34,Particles,3,1.000,2.828,82,8,135.000,2.000,1.464,0.683,0.857
35,Particles,3,0.967,3.162,32,9,161.565,1.000,3.000,0.333,1.000
36,Particles,3,1.000,2.828,86,10,135.000,2.000,1.464,0.683,0.857
37,Particles,4,0.740,4.123,80,12,165.964,1.000,4.000,0.250,1.000
38,Particles,3,0.809,3.162,151,13,108.435,1.000,3.000,0.333,1.000
39,Particles,4,0.857,3.606,126,17,56.310,2.000,2.000,0.500,0.800
40,Particles,4,0.698,3.606,111,15,123.690,2.683,1.581,0.632,0.615
41,Particles,3,0.967,3.162,58,16,161.565,1.000,3.000,0.333,1.000
42,Particles,6,1.000,3.606,148,16,123.690,2.000,1.500,0.667,1.000
43,Particles,3,0.967,3.162,163,16,161.565,1.000,3.000,0.333,1.000
44,Particles,4,0.740,4.123,28,17,165.964,1.000,4.000,0.250,1.000
45,Particles,3,1.000,2.828,142,19,45.000,2.000,1.464,0.683,0.857
46,Particles,3,0.967,3.162,469,17,161.565,1.000,3.000,0.333,1.000
47,Particles,3,0.967,3.162,77,22,161.565,1.000,3.000,0.333,1.000
48,Particles,3,0.809,3.162,388,24,108.435,1.000,3.000,0.333,1.000
49,Particles,3,0.967,3.162,91,27,161.565,1.000,3.000,0.333,1.000
50,Particles,5,0.764,4.472,140,29,26.565,2.000,2.610,0.383,0.769
51,Particles,3,0.754,3.606,191,32,33.690,1.789,2.702,0.370,0.667
52,Particles,3,1.000,2.828,2,34,45.000,2.000,1.464,0.683,0.857
53,Particles,3,0.967,3.162,347,32,161.565,1.000,3.000,0.333,1.000
54,Particles,4,1.000,2.828,490,32,135.000,2.000,1.000,1.000,1.000
55,Particles,4,0.857,3.606,256,33,146.310,2.000,2.000,0.500,0.800
56,Particles,4,0.645,4.123,120,36,104.036,1.000,4.000,0.250,1.000
57,Particles,3,0.643,3.606,72,42,56.310,1.789,2.702,0.370,0.667
58,Particles,3,0.809,3.162,48,41,108.435,1.000,3.000,0.333,1.000
59,Particles,4,0.740,4.123,169,41,165.964,1.000,4.000,0.250,1.000
