 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
60,Particles,3,1.000,2.828,132,48,45.000,2.000,1.464,0.683,0.857
61,Particles,3,1.000,2.828,121,49,45.000,2.000,1.464,0.683,0.857
62,Particles,3,0.967,3.162,169,47,161.565,1.000,3.000,0.333,1.000
63,Particles,3,1.000,2.828,118,49,135.000,2.000,1.464,0.683,0.857
64,Particles,3,1.000,2.828,136,53,45.000,2.000,1.464,0.683,0.857
65,Particles,4,0.857,3.606,9,55,146.310,2.000,2.000,0.500,0.800
66,Particles,3,0.754,3.606,158,55,146.310,1.789,2.702,0.370,0.667
67,Particles,4,0.740,4.123,38,76,165.964,1.000,4.000,0.250,1.000
68,Particles,3,0.967,3.162,165,80,161.565,1.000,3.000,0.333,1.000
69,Particles,3,0.809,3.162,263,80,108.435,1.000,3.000,0.333,1.000
70,Particles,3,1.000,2.828,184,82,135.000,2.000,1.464,0.683,0.857
71,Particles,4,1.000,2.828,278,106,135.000,2.000,1.000,1.000,1.000
72,Particles,3,0.809,3.162,37,112,108.435,1.000,3.000,0.333,1.000
73,Particles,3,0.967,3.162,20,120,161.565,1.000,3.000,0.333,1.000
74,Particles,4,0.857,3.606,227,127,56.310,2.000,2.000,0.500,0.800
75,Particles,4,1.000,2.828,220,125,135.000,2.000,1.000,1.000,1.000
76,Particles,3,1.000,2.828,21,127,135.000,2.000,1.464,0.683,0.857
77,Particles,3,1.000,2.828,63,131,45.000,2.000,1.464,0.683,0.857
78,Particles,3,0.967,3.162,88,129,161.565,1.000,3.000,0.333,1.000
79,Particles,3,1.000,2.828,98,132,45.000,2.000,1.464,0.683,0.857
80,Particles,3,0.754,3.606,103,131,146.310,1.789,2.702,0.370,0.667
81,Particles,4,1.000,2.828,267,131,135.000,2.000,1.000,1.000,1.000
82,Particles,7,0.647,5.385,96,135,21.801,2.000,2.982,0.335,0.824
83,Particles,3,1.000,2.828,210,135,135.000,2.000,1.464,0.683,0.857
84,Particles,3,0.754,3.606,268,137,33.690,1.789,2.702,0.370,0.667
85,Particles,3,0.967,3.162,88,136,161.565,1.000,3.000,0.333,1.000
86,Particles,3,0.809,3.162,254,139,108.435,1.000,3.000,0.333,1.000
87,Particles,4,1.000,2.828,246,141,135.000,2.000,1.000,1.000,1.000
88,Particles,5,0.764,3.606,265,142,123.690,2.000,1.653,0.605,0.833
89,Particles,5,0.873,4.243,248,146,45.000,2.121,2.308,0.433,0.769
90,Particles,8,0.820,4.472,92,146,153.435,3.000,1.540,0.649,0.800
91,Particles,4,0.857,3.606,98,145,123.690,2.000,2.031,0.492,0.800
92,Particles,5,1.000,3.606,296,153,146.310,2.000,1.553,0.644,0.909
93,Particles,5,1.000,3.606,300,153,146.310,2.000,1.553,0.644,0.909
94,Particles,4,1.000,2.828,38,155,135.000,2.000,1.000,1.000,1.000
95,Particles,3,1.000,2.828,296,158,45.000,2.000,1.464,0.683,0.857
96,Particles,6,0.615,5.099,304,158,168.690,2.000,3.003,0.333,0.750
97,Particles,3,1.000,2.828,42,158,135.000,2.000,1.464,0.683,0.857
98,Particles,3,1.000,2.828,55,161,45.000,2.000,1.464,0.683,0.857
99,Particles,3,0.754,3.606,53,169,33.690,1.789,2.702,0.370,0.667
100,Particles,3,1.000,2.828,324,171,45.000,2.000,1.464,0.683,0.857
101,Particles,5,0.674,4.472,237,173,26.565,2.000,2.749,0.364,0.769
102,Particles,3,0.967,3.162,354,175,161.565,1.000,3.000,0.333,1.000
103,Particles,3,1.000,2.828,228,178,45.000,2.000,1.464,0.683,0.857
104,Particles,3,0.967,3.162,316,176,161.565,1.000,3.000,0.333,1.000
105,Particles,3,0.967,3.162,320,176,161.565,1.000,3.000,0.333,1.000
106,Particles,6,0.809,4.472,306,181,26.565,2.000,2.237,0.447,0.857
107,Particles,4,1.000,3.162,313,180,161.565,2.000,1.468,0.681,0.800
108,Particles,5,1.000,3.606,317,181,33.690,2.000,1.553,0.644,0.909
109,Particles,4,1.000,2.828,238,180,135.000,2.000,1.000,1.000,1.000
110,Particles,4,0.611,4.243,303,180,135.000,2.121,2.530,0.395,0.615
111,Particles,4,0.645,4.123,401,180,104.036,1.000,4.000,0.250,1.000
112,Particles,3,0.809,3.162,327,181,108.435,1.000,3.000,0.333,1.000
113,Particles,4,0.740,4.123,222,183,165.964,1.000,4.000,0.250,1.000
114,Particles,4,1.000,3.606,342,185,33.690,2.000,2.031,0.492,0.800
115,Particles,4,0.740,4.123,308,185,165.964,1.000,4.000,0.250,1.000
116,Particles,4,1.000,2.828,238,186,135.000,2.000,1.000,1.000,1.000
117,Particles,3,0.967,3.162,304,188,161.565,1.000,3.000,0.333,1.000
118,Particles,4,0.740,4.123,228,190,165.964,1.000,4.000,0.250,1.000
119,Particles,3,1.000,2.828,207,191,135.000,2.000,1.464,0.683,0.857
120,Particles,3,1.000,2.828,216,194,45.000,2.000,1.464,0.683,0.857
121,Particles,4,0.740,4.123,290,192,165.964,1.000,4.000,0.250,1.000
122,Particles,4,1.000,2.828,297,192,135.000,2.000,1.000,1.000,1.000
123,Particles,5,1.000,3.606,301,195,56.310,2.000,1.553,0.644,0.909
124,Particles,4,1.000,3.162,252,198,161.565,2.000,1.468,0.681,0.800
125,Particles,5,1.000,3.606,234,198,146.310,2.000,1.553,0.644,0.909
126,Particles,3,1.000,2.828,224,202,45.000,2.000,1.464,0.683,0.857
127,Particles,4,1.000,2.828,276,200,135.000,2.000,1.000,1.000,1.000
128,Particles,5,1.000,3.606,284,200,146.310,2.000,1.553,0.644,0.909
129,Particles,3,0.809,3.162,216,203,108.435,1.000,3.000,0.333,1.000
130,Particles,9,0.923,5.000,276,203,143.130,3.000,1.758,0.569,0.857
131,Particles,3,0.809,3.162,220,206,108.435,1.000,3.000,0.333,1.000
132,Particles,4,1.000,2.828,239,206,135.000,2.000,1.000,1.000,1.000
133,Particles,3,0.809,3.162,256,206,108.435,1.000,3.000,0.333,1.000
134,Particles,5,0.764,4.472,215,210,26.565,2.000,2.749,0.364,0.769
135,Particles,5,0.764,4.243,223,211,45.000,2.828,1.727,0.579,0.714
136,Particles,4,0.645,4.123,264,208,104.036,1.000,4.000,0.250,1.000
137,Particles,4,0.645,4.123,267,208,104.036,1.000,4.000,0.250,1.000
138,Particles,3,1.000,2.828,291,210,45.000,2.000,1.464,0.683,0.857
139,Particles,3,0.967,3.162,355,208,161.565,1.000,3.000,0.333,1.000
140,Particles,3,1.000,2.828,78,212,45.000,2.000,1.464,0.683,0.857
141,Particles,4,0.857,3.606,240,210,123.690,2.000,2.031,0.492,0.800
142,Particles,3,1.000,2.828,141,211,135.000,2.000,1.464,0.683,0.857
143,Particles,3,0.643,3.606,220,211,123.690,1.789,2.702,0.370,0.667
144,Particles,3,0.809,3.162,248,211,108.435,1.000,3.000,0.333,1.000
145,Particles,4,1.000,3.606,307,213,33.690,2.000,2.000,0.500,0.800
146,Particles,3,1.000,2.828,323,213,45.000,2.000,1.464,0.683,0.857
147,Particles,4,1.000,3.606,202,217,33.690,2.000,2.031,0.492,0.800
148,Particles,4,0.611,4.472,236,215,153.435,1.897,3.093,0.323,0.667
149,Particles,3,0.643,3.606,273,215,123.690,1.789,2.702,0.370,0.667
150,Particles,3,0.967,3.162,112,216,161.565,1.000,3.000,0.333,1.000
151,Particles,3,0.967,3.162,326,216,161.565,1.000,3.000,0.333,1.000
152,Particles,3,1.000,2.828,178,219,135.000,2.000,1.464,0.683,0.857
153,Particles,5,0.674,4.472,287,219,153.435,2.000,2.749,0.364,0.769
154,Particles,3,1.000,2.828,278,220,135.000,2.000,1.464,0.683,0.857
155,Particles,3,1.000,2.828,38,225,45.000,2.000,1.464,0.683,0.857
156,Particles,3,0.754,3.606,101,225,33.690,1.789,2.702,0.370,0.667
157,Particles,5,0.764,3.606,175,223,146.310,2.000,1.653,0.605,0.833
158,Particles,3,0.809,3.162,180,224,108.435,1.000,3.000,0.333,1.000
159,Particles,7,0.647,5.099,248,224,101.310,2.000,2.423,0.413,0.824
160,Particles,3,1.000,2.828,200,228,45.000,2.000,1.464,0.683,0.857
161,Particles,3,1.000,2.828,250,230,135.000,2.000,1.464,0.683,0.857
162,Particles,3,0.967,3.162,80,231,161.565,1.000,3.000,0.333,1.000
163,Particles,3,1.000,2.828,230,236,135.000,2.000,1.464,0.683,0.857
164,Particles,4,0.857,3.606,120,239,146.310,2.000,2.000,0.500,0.800
165,Particles,3,0.967,3.162,35,247,161.565,1.000,3.000,0.333,1.000
166,Particles,3,1.000,2.828,27,253,45.000,2.000,1.464,0.683,0.857
167,Particles,4,0.740,4.123,145,256,165.964,1.000,4.000,0.250,1.000
168,Particles,3,0.967,3.162,214,264,161.565,1.000,3.000,0.333,1.000
169,Particles,3,1.000,2.828,115,271,45.000,2.000,1.464,0.683,0.857
170,Particles,3,0.809,3.162,276,297,108.435,1.000,3.000,0.333,1.000
171,Particles,3,1.000,2.828,111,301,45.000,2.000,1.464,0.683,0.857
172,Particles,5,1.000,3.606,197,303,146.310,2.000,1.553,0.644,0.909
173,Particles,8,0.914,4.472,330,343,63.435,3.000,1.308,0.764,0.800
174,Particles,3,0.809,3.162,327,342,108.435,1.000,3.000,0.333,1.000
