 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Fibers,236,0.248,46.174,264,128,4.970,8.115,6.132,0.163,0.797
2,Fibers,29,0.281,10.000,90,140,53.130,7.727,1.338,0.747,0.532
3,Fibers,2737,0.147,99.020,270,271,56.952,57.092,2.064,0.485,0.641
4,Fragments,6,0.503,6.083,42,15,170.538,1.000,6.000,0.167,1.000
5,Fragments,9,0.498,7.280,84,143,15.945,2.000,4.161,0.240,0.783
6,Fragments,6,0.503,6.083,282,150,170.538,1.000,6.000,0.167,1.000
7,Fragments,3,0.524,3.162,48,151,108.435,2.000,1.567,0.638,0.600
8,Fragments,11,0.494,6.708,306,178,63.435,3.714,2.167,0.462,0.629
9,Fragments,5,0.572,4.472,34,178,63.435,2.000,2.422,0.413,0.714
10,Fragments,8,0.567,5.831,326,194,59.036,2.774,2.789,0.359,0.593
11,Fragments,71,0.342,13.454,377,247,131.987,10.000,1.207,0.829,0.759
12,Particles,3,0.809,3.162,153,2,108.435,1.000,3.000,0.333,1.000
13,Particles,4,0.740,4.123,176,6,165.964,1.000,4.000,0.250,1.000
14,Particles,3,0.754,3.606,40,7,146.310,1.789,2.702,0.370,0.667
15,Particles,3,0.809,3.162,144,9,108.435,1.000,3.000,0.333,1.000
16,Particles,3,1.000,2.828,124,14,45.000,2.000,1.464,0.683,0.857
17,Particles,4,0.740,4.123,196,12,165.964,1.000,4.000,0.250,1.000
18,Particles,3,0.643,3.606,94,14,123.690,1.789,2.702,0.370,0.667
19,Particles,4,0.611,4.243,6,16,135.000,2.121,2.530,0.395,0.615
20,Particles,3,1.000,2.828,338,18,45.000,2.000,1.464,0.683,0.857
21,Particles,4,0.645,4.123,360,16,104.036,1.000,4.000,0.250,1.000
22,Particles,4,0.645,4.123,75,20,104.036,1.000,4.000,0.250,1.000
23,Particles,3,1.000,2.828,359,24,45.000,2.000,1.464,0.683,0.857
24,Particles,3,0.967,3.162,94,24,161.565,1.000,3.000,0.333,1.000
25,Particles,3,0.809,3.162,41,29,108.435,1.000,3.000,0.333,1.000
26,Particles,5,0.674,4.472,101,32,153.435,2.000,2.749,0.364,0.769
27,Particles,3,0.967,3.162,112,32,161.565,1.000,3.000,0.333,1.000
28,Particles,3,0.967,3.162,76,33,161.565,1.000,3.000,0.333,1.000
29,Particles,3,0.967,3.162,117,36,161.565,1.000,3.000,0.333,1.000
30,Particles,6,0.809,4.472,348,39,26.565,2.000,2.237,0.447,0.857
31,Particles,3,1.000,2.828,168,49,45.000,2.000,1.464,0.683,0.857
32,Particles,4,1.000,3.606,95,55,33.690,2.000,2.000,0.500,0.800
33,Particles,3,1.000,2.828,130,56,135.000,2.000,1.464,0.683,0.857
34,Particles,6,0.615,5.000,264,72,53.130,3.000,2.000,0.500,0.667
35,Particles,21,0.650,8.246,268,70,165.964,5.000,1.938,0.516,0.712
36,Particles,6,0.916,4.123,301,68,165.964,2.000,1.809,0.553,0.857
37,Particles,3,0.967,3.162,293,71,161.565,1.000,3.000,0.333,1.000
38,Particles,3,1.000,2.828,247,83,135.000,2.000,1.464,0.683,0.857
39,Particles,3,0.967,3.162,20,88,161.565,1.000,3.000,0.333,1.000
40,Particles,4,1.000,2.828,252,102,135.000,2.000,1.000,1.000,1.000
41,Particles,3,0.809,3.162,51,109,108.435,1.000,3.000,0.333,1.000
42,Particles,6,1.000,3.606,261,125,123.690,2.000,1.500,0.667,1.000
43,Particles,3,0.967,3.162,149,128,161.565,1.000,3.000,0.333,1.000
44,Particles,3,1.000,2.828,59,133,45.000,2.000,1.464,0.683,0.857
45,Particles,3,0.809,3.162,95,138,108.435,1.000,3.000,0.333,1.000
46,Particles,4,0.857,3.606,31,149,146.310,2.000,2.000,0.500,0.800
47,Particles,3,0.809,3.162,23,153,108.435,1.000,3.000,0.333,1.000
48,Particles,5,0.674,4.123,76,153,104.036,2.000,2.188,0.457,0.769
49,Particles,3,1.000,2.828,14,158,135.000,2.000,1.464,0.683,0.857
50,Particles,3,0.967,3.162,47,160,161.565,1.000,3.000,0.333,1.000
51,Particles,4,0.857,3.606,311,169,146.310,2.000,2.000,0.500,0.800
52,Particles,4,0.740,4.123,288,173,165.964,1.000,4.000,0.250,1.000
53,Particles,3,0.809,3.162,38,174,108.435,1.000,3.000,0.333,1.000
54,Particles,3,0.809,3.162,31,175,108.435,1.000,3.000,0.333,1.000
55,Particles,3,0.967,3.162,301,176,161.565,1.000,3.000,0.333,1.000
56,Particles,6,1.000,3.606,301,180,146.310,2.000,1.500,0.667,1.000
57,Particles,4,0.857,3.606,269,183,33.690,2.000,2.000,0.500,0.800
58,Particles,3,1.000,2.828,306,183,45.000,2.000,1.464,0.683,0.857
59,Particles,5,0.873,4.243,280,185,45.000,2.121,2.308,0.433,0.769
60,Particles,3,0.809,3.162,75,184,108.435,1.000,3.000,0.333,1.000
61,Particles,6,0.809,4.472,316,189,63.435,2.000,2.082,0.480,0.857
62,Particles,3,1.000,2.828,336,187,45.000,2.000,1.464,0.683,0.857
63,Particles,7,1.000,4.243,277,189,45.000,3.000,1.380,0.725,0.875
64,Particles,4,0.611,4.472,321,188,26.565,1.897,3.093,0.323,0.667
65,Particles,3,0.967,3.162,221,192,161.565,1.000,3.000,0.333,1.000
66,Particles,3,1.000,2.828,243,195,135.000,2.000,1.464,0.683,0.857
67,Particles,3,1.000,2.828,240,198,135.000,2.000,1.464,0.683,0.857
68,Particles,4,1.000,2.828,342,202,135.000,2.000,1.000,1.000,1.000
69,Particles,3,0.809,3.162,201,203,108.435,1.000,3.000,0.333,1.000
70,Particles,5,1.000,3.606,268,203,123.690,2.000,1.553,0.644,0.909
71,Particles,4,0.857,3.606,263,209,146.310,2.000,2.000,0.500,0.800
72,Particles,3,1.000,2.828,257,219,135.000,2.000,1.464,0.683,0.857
73,Particles,4,0.740,4.123,25,223,165.964,1.000,4.000,0.250,1.000
74,Particles,3,0.643,3.606,264,231,123.690,1.789,2.702,0.370,0.667
75,Particles,6,0.615,5.099,273,240,168.690,2.000,3.003,0.333,0.750
76,Particles,4,0.740,4.123,48,241,165.964,1.000,4.000,0.250,1.000
77,Particles,3,0.967,3.162,301,250,161.565,1.000,3.000,0.333,1.000
78,Particles,4,0.645,4.123,144,252,104.036,1.000,4.000,0.250,1.000
79,Particles,3,0.967,3.162,317,268,161.565,1.000,3.000,0.333,1.000
80,Particles,3,1.000,2.828,264,273,135.000,2.000,1.464,0.683,0.857
81,Particles,3,1.000,2.828,266,283,45.000,2.000,1.464,0.683,0.857
82,Particles,3,0.967,3.162,72,303,161.565,1.000,3.000,0.333,1.000
